City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,grand gaube,MU,73.8,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
2,princeton,US,81.01,clear sky,25.5384,-80.4089,American Best Inn
3,trairi,BR,77.58,clear sky,-3.2778,-39.2689,janelas do mar
4,butaritari,KI,83.19,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
5,atuona,PF,79.88,light rain,-9.8,-139.0333,Villa Enata
6,hithadhoo,MV,83.93,overcast clouds,-0.6,73.0833,Scoop Guest House
12,nagua,DO,77.45,overcast clouds,19.3832,-69.8474,Hotel Cambri
13,olinda,BR,74.93,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
18,honiara,SB,86.09,overcast clouds,-9.4333,159.95,Heritage Park Hotel
21,souillac,MU,73.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,alofi,NU,77.52,light rain,-19.0595,-169.9187,Taloa Heights
33,waingapu,ID,85.14,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
34,flagstaff,US,82.06,overcast clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
35,nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
37,puerto ayora,EC,73.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,pucallpa,PE,72.79,overcast clouds,-8.3791,-74.5539,Hospedaje Komby
40,verkhnevilyuysk,RU,83.43,broken clouds,63.4453,120.3167,Gostinitsa Mila
41,kano,NG,85.89,clear sky,12.0001,8.5167,Havana Guest Inn
43,rikitea,PF,72.84,scattered clouds,-23.1203,-134.9692,Pension Maro'i
44,zhuhai,CN,85.05,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
48,yantal,RU,80.96,broken clouds,56.8471,105.2542,
52,dawei,MM,85.73,overcast clouds,14.0833,98.2,Hotel Dawei
53,lazaro cardenas,MX,82.69,few clouds,17.9583,-102.2,quinta antigua
54,watertown,US,71.51,overcast clouds,42.3709,-71.1828,Sonesta International Hotels Corporation
60,bella vista,US,70.72,clear sky,36.4295,-94.2316,The Inn at Bella Vista
63,vila velha,BR,71.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
64,vaini,TO,72.75,scattered clouds,-21.2,-175.2,Keleti Beach Resort
66,iracoubo,GF,76.86,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
68,altamira,BR,71.65,scattered clouds,-3.2033,-52.2064,Requinte Hotel
74,sampit,ID,86.65,broken clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
78,poum,NC,75.56,scattered clouds,-20.2333,164.0167,Gîte kajeon
81,hilo,US,83.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
88,kavaratti,IN,84.13,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
90,anbu,CN,87.01,overcast clouds,23.449,116.6809,Harbour Plaza
91,tongliao,CN,70.2,clear sky,43.6125,122.2653,Meirujia Hotel
94,pemberton,CA,74.64,broken clouds,50.3164,-122.8027,Pemberton Valley Lodge
101,yashan,CN,77.86,light rain,22.1975,109.9419,
102,victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
104,virginia beach,US,72.01,moderate rain,36.8529,-75.978,Hilton Virginia Beach Oceanfront
105,saint-philippe,RE,71.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
108,tucumcari,US,76.95,few clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
110,mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
111,vao,NC,71.06,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
114,billings,US,88.93,clear sky,45.7833,-108.5007,Best Western Plus Clocktower Inn
115,portland,US,81.61,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
116,kapaa,US,78.78,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
123,montrose,US,74.61,few clouds,38.4166,-108.2673,
127,ixtapa,MX,82.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
130,marang,MY,84.06,overcast clouds,5.2056,103.2059,DBarakah Homestay
131,saint-georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
134,champerico,GT,85.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
136,lantawan,PH,85.05,overcast clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
140,kashi,CN,79.39,clear sky,39.4547,75.9797,帕米尔青年旅舍
141,najran,SA,74.35,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
142,robertsport,LR,81.86,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
144,port macquarie,AU,70.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
147,marsh harbour,BS,78.35,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
151,marietta,US,73.49,broken clouds,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
152,georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
154,shimoda,JP,72.1,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
155,aswan,EG,80.96,broken clouds,24.0934,32.907,Nuba Nile
156,noumea,NC,77.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
158,tezu,IN,83.89,overcast clouds,27.9167,96.1667,Circuit House
159,itarema,BR,77.04,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
161,san patricio,US,72.84,moderate rain,28.017,-97.5169,"Motel 6 Sinton, TX"
167,bengkulu,ID,80.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
170,linqiong,CN,76.78,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
171,srivardhan,IN,82.96,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
175,sarh,TD,81.0,overcast clouds,9.1429,18.3923,Domicile 1sur le goudron
176,yazman,PK,86.18,scattered clouds,29.1212,71.7446,Jamal sons showroom
178,farias brito,BR,74.23,scattered clouds,-6.9306,-39.5656,Pousada Boa Vista
181,san gabriel casa blanca,MX,75.15,broken clouds,18.15,-97.1333,
186,mahur,IN,72.57,overcast clouds,25.1667,93.1167,ChaamGoun Inn
188,adrar,MR,86.95,broken clouds,20.5022,-10.0711,
191,khash,IR,81.3,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
193,makurdi,NG,72.66,moderate rain,7.7411,8.5121,Doo Palace Hotel
194,kazerun,IR,82.35,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
195,gamba,GA,75.18,clear sky,-2.65,10.0,
196,ganzhou,CN,76.19,overcast clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
197,tzucacab,MX,82.11,broken clouds,20.0667,-89.05,Hotel Jabines Centro
199,oriximina,BR,74.43,light rain,-1.7656,-55.8661,Pousada Tia Amélia
201,kahului,US,83.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
208,namibe,AO,70.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
209,lorengau,PG,85.01,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
215,peleduy,RU,81.37,few clouds,59.6289,112.7406,Гостиница «Уют»
217,charters towers,AU,73.92,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
219,kuytun,RU,71.67,scattered clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
222,airai,TL,72.09,scattered clouds,-8.9266,125.4092,Juvinal Martin
225,rosarito,MX,71.64,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
229,sandpoint,US,88.12,clear sky,48.2766,-116.5533,La Quinta Inn by Wyndham Sandpoint
230,caracuaro,MX,81.55,heavy intensity rain,19.0106,-101.1264,Hotel Juana
232,kushima,JP,77.04,overcast clouds,31.4583,131.2333,Hanaoka
233,luzhou,CN,74.61,overcast clouds,28.8724,105.4405,Shijichun Hotel
234,atar,MR,88.29,overcast clouds,20.5169,-13.0499,Oumou Elghoura
235,avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
238,japura,ID,81.81,light rain,-0.3167,102.35,Rumah mbah Jamah
244,bambous virieux,MU,74.37,few clouds,-20.3428,57.7575,Casa Tia Villa
245,arraial do cabo,BR,73.65,clear sky,-22.9661,-42.0278,Pousada Porto Praia
246,wattegama,LK,77.92,overcast clouds,6.7989,81.4808,
249,itupiranga,BR,75.94,broken clouds,-5.1347,-49.3267,Hotel Panorama
252,steamboat springs,US,77.67,clear sky,40.485,-106.8317,Steamboat Grand
253,kavieng,PG,84.38,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
254,morros,BR,74.88,scattered clouds,-9.4467,-46.3003,
256,sorong,ID,80.06,overcast clouds,-0.8833,131.25,waigo splash hotel
257,griffith,US,78.66,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
262,ginda,IN,72.09,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
264,toma,BF,89.82,few clouds,12.7667,-2.8833,Auberge de l'amitié
265,ribas do rio pardo,BR,74.16,scattered clouds,-20.4431,-53.7592,Pousada Avenida
268,sao joao da barra,BR,72.3,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
270,half moon bay,US,83.57,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
272,pochutla,MX,79.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
276,villa rica,US,72.75,light rain,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
278,kendari,ID,75.99,overcast clouds,-3.945,122.4989,Hotel Wixel
282,bathsheba,BB,80.01,overcast clouds,13.2167,-59.5167,Atlantis Hotel
285,pa daet,TH,79.52,overcast clouds,19.5049,99.9924,โรงแรมฝ้ายคำ
286,kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
287,macau,MO,85.06,light rain,22.2006,113.5461,Grand Emperor Hotel
291,faanui,PF,81.27,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
293,cabedelo,BR,76.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
296,mecca,SA,82.04,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
300,nicoya,CR,77.85,scattered clouds,10.1483,-85.452,Guayacan Real
302,tura,IN,81.3,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
304,bani,DO,77.86,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
305,bandarbeyla,SO,78.98,overcast clouds,9.4942,50.8122,JABIR HOTEL
306,katsuura,JP,72.19,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
308,englewood,US,79.41,clear sky,39.6478,-104.9878,Holiday Motel
314,the valley,AI,81.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
315,davidson,US,71.02,clear sky,36.1501,-86.7833,Best Western Plus Music Row
316,batagay,RU,77.11,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
318,kurumkan,RU,71.87,clear sky,54.3,110.3,Ilikchin
321,ratnagiri,IN,80.96,light rain,16.9833,73.3,Hotel Landmark
324,abis,PH,86.16,overcast clouds,9.7173,122.9438,Honey's Relax Inn
325,biak,ID,81.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
326,gorontalo,ID,87.46,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
328,benghazi,LY,70.65,clear sky,32.1167,20.0667,Tibesti Hotel
329,bafq,IR,88.97,clear sky,31.6128,55.4107,Alamdar Hotel
331,soe,ID,79.61,scattered clouds,-9.8607,124.284,Dena Hotel
333,beyneu,KZ,75.06,clear sky,45.3167,55.2,NUR
334,khed brahma,IN,85.44,clear sky,24.0333,73.05,UMIYA NASTA HOUSE
