City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
0,grand gaube,-20.0064,57.6608,73.8,74,8,21.68,light rain,MU
1,bluff,-46.6,168.3333,55.22,73,18,13.06,few clouds,NZ
2,princeton,25.5384,-80.4089,81.01,88,1,5.75,clear sky,US
3,trairi,-3.2778,-39.2689,77.58,78,3,9.75,clear sky,BR
4,butaritari,3.0707,172.7902,83.19,74,91,7.9,overcast clouds,KI
5,atuona,-9.8,-139.0333,79.88,79,25,18.03,light rain,PF
6,hithadhoo,-0.6,73.0833,83.93,71,100,17.56,overcast clouds,MV
7,castro,-24.7911,-50.0119,58.26,93,81,3.51,broken clouds,BR
8,upernavik,72.7868,-56.1549,31.87,75,27,1.9,scattered clouds,GL
9,port lincoln,-34.7333,135.8667,60.1,63,60,10.51,broken clouds,AU
10,geraldton,-28.7667,114.6,59.13,77,0,14.23,clear sky,AU
11,port alfred,-33.5906,26.891,53.55,74,10,6.6,clear sky,ZA
12,nagua,19.3832,-69.8474,77.45,87,100,9.13,overcast clouds,DO
13,olinda,-8.0089,-34.8553,74.93,78,40,6.87,scattered clouds,BR
14,batemans bay,-35.7167,150.1833,62.91,50,45,3.85,scattered clouds,AU
15,longyearbyen,78.2186,15.6401,32.29,97,100,4.52,snow,SJ
16,tasiilaq,65.6145,-37.6368,44.76,76,100,6.42,overcast clouds,GL
17,nuuk,64.1835,-51.7216,34.88,93,18,3.0,few clouds,GL
18,honiara,-9.4333,159.95,86.09,67,95,7.87,overcast clouds,SB
19,east london,-33.0153,27.9116,55.26,75,65,6.73,broken clouds,ZA
20,marrakesh,31.6315,-8.0083,64.47,68,40,6.91,scattered clouds,MA
21,souillac,-20.5167,57.5167,73.38,78,14,15.68,few clouds,MU
22,nikolskoye,59.7035,30.7861,51.69,79,20,4.29,few clouds,RU
23,lappeenranta,61.0587,28.1887,55.45,76,0,3.44,clear sky,FI
24,norman wells,65.282,-126.8329,57.88,66,100,7.16,overcast clouds,CA
25,constantine,36.365,6.6147,64.26,77,29,6.35,scattered clouds,DZ
26,luderitz,-26.6481,15.1594,67.12,38,0,21.56,clear sky,NA
27,acari,-15.4311,-74.6158,66.33,75,64,1.36,broken clouds,PE
28,mehamn,71.0357,27.8492,50.07,75,20,16.71,few clouds,NO
29,alofi,-19.0595,-169.9187,77.52,76,99,7.23,light rain,NU
30,ushuaia,-54.8,-68.3,23.23,94,23,4.23,few clouds,AR
31,ust-nera,64.5667,143.2,62.67,28,22,4.34,few clouds,RU
32,rodino,52.5,80.25,64.51,60,51,5.77,broken clouds,RU
33,waingapu,-9.6567,120.2641,85.14,65,56,9.91,broken clouds,ID
34,flagstaff,35.1981,-111.6513,82.06,20,88,1.01,overcast clouds,US
35,nhulunbuy,-12.2333,136.7667,84.81,61,40,16.11,scattered clouds,AU
36,kerrville,30.0474,-99.1403,67.91,88,40,1.99,scattered clouds,US
37,puerto ayora,-0.7393,-90.3518,73.54,90,72,5.99,broken clouds,EC
