City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Waingapu,ID,2021-06-01 06:51:14,-9.6567,120.2641,83.01,67,100,7.87
1,Punta Arenas,CL,2021-06-01 06:51:15,-53.15,-70.9167,28.51,86,40,3.74
2,Taylorville,US,2021-06-01 06:48:52,39.5489,-89.2945,61.21,77,1,4.61
3,Vaini,TO,2021-06-01 06:51:15,-21.2,-175.2,68.16,100,90,0.0
4,Albany,US,2021-06-01 06:49:01,42.6001,-73.9662,49.84,89,100,3.44
5,Saint-Georges,GD,2021-06-01 06:46:19,12.0564,-61.7485,79.02,71,40,14.45
6,San Isidro,PE,2021-06-01 06:51:16,-12.1167,-77.05,63.01,96,90,7.23
7,Carnarvon,AU,2021-06-01 06:51:17,-24.8667,113.6333,71.67,46,74,13.8
8,Katsuura,JP,2021-06-01 06:51:17,35.1333,140.3,75.31,68,8,9.17
9,Hermanus,ZA,2021-06-01 06:51:17,-34.4187,19.2345,55.9,79,81,4.56
10,Simao,CN,2021-06-01 06:51:18,22.7886,100.9748,80.06,73,53,3.8
11,Bengkulu,ID,2021-06-01 06:51:18,-3.8004,102.2655,84.61,72,59,8.86
12,Sorland,NO,2021-06-01 06:51:19,67.667,12.6934,51.87,80,39,7.56
13,Abha,SA,2021-06-01 06:51:19,18.2164,42.5053,80.85,8,0,26.6
14,Tabas,IR,2021-06-01 06:51:20,33.5959,56.9244,102.42,8,0,2.3
15,Gossau,CH,2021-06-01 06:51:20,47.4169,9.2513,63.54,73,0,3.11
16,Cayenne,GF,2021-06-01 06:51:20,4.9333,-52.3333,75.24,90,75,1.01
17,Luwuk,ID,2021-06-01 06:51:21,-0.9516,122.7875,83.91,77,68,5.97
18,Airai,TL,2021-06-01 06:51:21,-8.9266,125.4092,67.1,79,96,1.28
19,Bredasdorp,ZA,2021-06-01 06:51:22,-34.5322,20.0403,52.92,87,75,5.08
20,Westport,US,2021-06-01 06:51:22,41.1415,-73.3579,57.97,92,1,1.99
21,Mar Del Plata,AR,2021-06-01 06:50:46,-38.0023,-57.5575,55.99,45,90,11.01
22,Mataura,NZ,2021-06-01 06:51:23,-46.1927,168.8643,49.48,95,30,2.71
23,Portland,US,2021-06-01 06:47:08,45.5234,-122.6762,73.38,55,1,9.22
24,Kahului,US,2021-06-01 06:51:23,20.8947,-156.47,78.82,84,20,3.44
25,Nome,US,2021-06-01 06:51:24,64.5011,-165.4064,60.87,34,1,17.27
26,Hofn,IS,2021-06-01 06:51:24,64.2539,-15.2082,44.4,80,100,7.27
27,Paamiut,GL,2021-06-01 06:51:25,61.994,-49.6678,37.63,82,12,7.45
28,Jamestown,US,2021-06-01 06:51:25,42.097,-79.2353,55.33,82,1,1.99
29,Invermere,CA,2021-06-01 06:51:26,50.5167,-116.0354,61.56,54,100,1.86
30,Geraldton,AU,2021-06-01 06:51:26,-28.7667,114.6,68.41,60,0,11.27
31,Bambanglipuro,ID,2021-06-01 06:51:26,-7.95,110.2833,68.61,71,53,11.79
32,Iqaluit,CA,2021-06-01 06:51:27,63.7506,-68.5145,31.73,93,90,15.99
33,North Vanlaiphai,IN,2021-06-01 06:51:27,23.1333,93.0667,79.0,56,85,6.02
34,Villamontes,BO,2021-06-01 06:51:28,-21.25,-63.5,55.44,78,85,4.81
35,Port Elizabeth,ZA,2021-06-01 06:51:28,-33.918,25.5701,57.49,72,0,12.66
36,Tuktoyaktuk,CA,2021-06-01 06:51:29,69.4541,-133.0374,30.72,77,98,8.1
37,Norman Wells,CA,2021-06-01 06:51:29,65.282,-126.8329,60.84,55,75,5.75
38,Eyl,SO,2021-06-01 06:51:29,7.9803,49.8164,86.86,53,99,20.42
39,Ancud,CL,2021-06-01 06:51:30,-41.8697,-73.8203,54.43,93,100,7.56
40,Williams Lake,CA,2021-06-01 06:51:30,52.1415,-122.1445,62.17,77,75,1.01
41,Kapaa,US,2021-06-01 06:51:31,22.0752,-159.319,79.12,75,40,3.15
42,Makurdi,NG,2021-06-01 06:51:31,7.7411,8.5121,75.56,79,100,3.27
43,Hilo,US,2021-06-01 06:47:27,19.7297,-155.09,77.79,88,75,0.0
44,Yellowknife,CA,2021-06-01 06:51:32,62.456,-114.3525,54.12,62,40,11.5
45,Tiksi,RU,2021-06-01 06:51:32,71.6872,128.8694,52.52,62,82,6.58
46,Saint George,US,2021-06-01 06:51:33,37.1041,-113.5841,84.79,13,1,1.01
47,Kamenka,RU,2021-06-01 06:51:33,51.3223,42.7678,58.28,75,100,9.86
48,Ushuaia,AR,2021-06-01 06:51:33,-54.8,-68.3,29.86,93,75,2.3
49,Ichhawar,IN,2021-06-01 06:51:34,23.0167,77.0167,95.09,20,5,8.01
50,Torbay,CA,2021-06-01 06:51:34,47.6666,-52.7314,49.28,94,90,6.91
51,Erenhot,CN,2021-06-01 06:51:35,43.6475,111.9767,61.52,26,96,5.64
52,Astoria,US,2021-06-01 06:51:35,46.1879,-123.8313,62.47,84,98,2.86
53,Cuiluan,CN,2021-06-01 06:51:35,47.72,128.648,56.82,96,100,4.05
54,Haines Junction,CA,2021-06-01 06:51:36,60.7522,-137.5108,49.95,71,100,5.75
55,Palmer,US,2021-06-01 06:51:36,42.1584,-72.3287,53.85,94,1,2.66
56,Danane,CI,2021-06-01 06:51:37,7.2596,-8.155,69.94,99,57,1.12
57,Rikitea,PF,2021-06-01 06:51:37,-23.1203,-134.9692,72.39,70,5,22.26
58,Garowe,SO,2021-06-01 06:51:38,8.4054,48.4845,83.08,50,97,22.37
59,Husavik,IS,2021-06-01 06:51:38,66.0449,-17.3389,40.91,62,100,3.94
60,Khatanga,RU,2021-06-01 06:51:39,71.9667,102.5,37.62,91,26,5.64
61,Salalah,OM,2021-06-01 06:51:39,17.0151,54.0924,86.85,63,99,12.26
62,Butaritari,KI,2021-06-01 06:51:39,3.0707,172.7902,83.35,79,96,16.04
63,Cockburn Town,TC,2021-06-01 06:51:40,21.4612,-71.1419,79.57,79,100,19.77
64,Asau,RO,2021-06-01 06:51:40,46.4333,26.4,50.4,95,100,9.95
65,Cidreira,BR,2021-06-01 06:51:40,-30.1811,-50.2056,51.84,71,100,8.68
66,Rio Gallegos,AR,2021-06-01 06:51:27,-51.6226,-69.2181,33.85,93,90,11.5
67,Tocopilla,CL,2021-06-01 06:51:41,-22.092,-70.1979,63.52,70,37,3.36
68,Alekseyevsk,RU,2021-06-01 06:51:41,57.8406,108.3492,75.43,26,46,9.89
69,Atuona,PF,2021-06-01 06:51:42,-9.8,-139.0333,79.32,75,15,13.73
70,Nador,MA,2021-06-01 06:51:42,35.174,-2.9287,66.45,82,75,8.7
71,Bradford,GB,2021-06-01 06:48:15,53.7939,-1.7521,62.89,65,0,4.23
72,La Ligua,CL,2021-06-01 06:51:43,-32.4524,-71.2311,59.25,52,19,1.03
73,Parakou,BJ,2021-06-01 06:51:43,9.3372,2.6303,77.76,76,31,9.98
74,Alugan,PH,2021-06-01 06:51:44,12.2188,125.4808,83.95,87,100,20.51
75,Taoudenni,ML,2021-06-01 06:51:44,22.6783,-3.9836,95.79,15,81,13.4
76,Coihaique,CL,2021-06-01 06:51:44,-45.5752,-72.0662,48.15,57,0,5.75
77,Wote,KE,2021-06-01 06:51:45,-1.7808,37.6288,69.75,66,98,5.64
78,Bokoro,TD,2021-06-01 06:51:45,12.3807,17.0568,91.71,36,100,19.62
79,Saint-Philippe,RE,2021-06-01 06:51:46,-21.3585,55.7679,82.22,63,0,8.93
80,Esperance,AU,2021-06-01 06:51:46,-33.8667,121.9,58.84,73,100,15.64
81,Saskylakh,RU,2021-06-01 06:51:46,71.9167,114.0833,40.5,72,81,12.62
82,Port Hedland,AU,2021-06-01 06:51:47,-20.3167,118.5667,80.65,32,100,13.8
83,Barrow,US,2021-06-01 06:51:47,71.2906,-156.7887,30.22,80,75,12.66
84,Qaanaaq,GL,2021-06-01 06:51:48,77.484,-69.3632,31.46,94,100,5.26
85,Bikin,RU,2021-06-01 06:48:11,46.8161,134.26,66.38,60,100,9.93
86,Chuy,UY,2021-06-01 06:51:48,-33.6971,-53.4616,49.82,90,98,6.93
87,Barcelos,PT,2021-06-01 06:50:58,41.5388,-8.6151,61.84,86,100,4.68
88,San Patricio,US,2021-06-01 06:51:49,28.017,-97.5169,80.83,91,3,9.71
89,Namatanai,PG,2021-06-01 06:51:49,-3.6667,152.4333,77.43,91,100,2.19
90,Marienburg,PL,2021-06-01 06:51:50,54.0359,19.0266,61.88,73,100,6.08
91,Aykhal,RU,2021-06-01 06:51:51,66.0,111.5,65.39,50,100,14.76
92,Muros,ES,2021-06-01 06:51:51,42.7762,-9.0603,62.24,81,100,13.31
93,Codrington,AU,2021-06-01 06:51:51,-38.2667,141.9667,56.34,51,100,11.99
94,Vagay,RU,2021-06-01 06:51:52,57.9375,69.0217,60.37,31,0,6.53
95,Manaure,CO,2021-06-01 06:51:52,11.7751,-72.4445,80.78,76,100,17.18
96,Linxia,CN,2021-06-01 06:51:53,35.6003,103.2064,73.92,32,100,5.55
97,Necochea,AR,2021-06-01 06:51:53,-38.5473,-58.7368,54.03,68,100,16.08
98,Desbiens,CA,2021-06-01 06:51:53,48.4178,-71.9495,54.25,93,93,7.38
99,Pucallpa,PE,2021-06-01 06:51:54,-8.3791,-74.5539,71.29,99,100,0.4
100,Hambantota,LK,2021-06-01 06:51:54,6.1241,81.1185,91.74,62,20,19.64
101,Sept-Iles,CA,2021-06-01 06:48:22,50.2001,-66.3821,43.32,98,90,1.01
102,Bluff,NZ,2021-06-01 06:50:04,-46.6,168.3333,49.8,77,61,22.68
103,Verkhovazhye,RU,2021-06-01 06:51:55,60.7472,42.0465,60.89,37,14,5.14
104,Naze,JP,2021-06-01 06:51:56,28.3667,129.4833,79.72,73,97,19.17
105,Saint-Augustin,CA,2021-06-01 06:51:56,51.226,-58.6502,43.02,98,100,3.58
106,Sobolevo,RU,2021-06-01 06:51:56,54.4299,31.8996,55.47,58,5,6.51
107,Yulara,AU,2021-06-01 06:51:57,-25.2406,130.9889,80.44,17,40,14.97
108,Svetlogorsk,BY,2021-06-01 06:51:57,52.6333,29.7333,56.52,56,15,7.49
109,Port Alfred,ZA,2021-06-01 06:47:18,-33.5906,26.891,59.61,73,83,18.81
110,Yatou,CN,2021-06-01 06:51:58,37.15,122.3833,68.27,77,100,11.97
111,Simplicio Mendes,BR,2021-06-01 06:51:58,-7.8539,-41.9103,69.44,85,0,5.57
112,Port Lincoln,AU,2021-06-01 06:51:58,-34.7333,135.8667,61.45,65,100,3.89
113,Richards Bay,ZA,2021-06-01 06:51:59,-28.783,32.0377,66.67,64,38,2.84
114,Upernavik,GL,2021-06-01 06:51:59,72.7868,-56.1549,31.1,83,100,2.28
115,Karatuzskoye,RU,2021-06-01 06:52:00,53.6072,92.8667,67.89,34,0,10.18
116,New Norfolk,AU,2021-06-01 06:52:00,-42.7826,147.0587,56.71,67,90,3.0
117,Wanaka,NZ,2021-06-01 06:52:01,-44.7,169.15,44.02,78,18,2.26
118,Pochutla,MX,2021-06-01 06:52:02,15.7432,-96.4661,79.83,81,87,3.27
119,Ardakan,IR,2021-06-01 06:52:02,32.31,54.0175,97.18,7,0,5.28
120,Ust-Nera,RU,2021-06-01 06:52:02,64.5667,143.2,54.64,68,100,2.42
121,Kalmunai,LK,2021-06-01 06:52:03,7.4167,81.8167,88.72,63,100,9.1
122,Busselton,AU,2021-06-01 06:52:03,-33.65,115.3333,64.09,70,95,4.59
123,Bambous Virieux,MU,2021-06-01 06:52:04,-20.3428,57.7575,80.22,73,40,11.34
124,Hithadhoo,MV,2021-06-01 06:52:04,-0.6,73.0833,84.43,66,89,16.75
125,Tumut,AU,2021-06-01 06:52:04,-35.3,148.2167,54.59,61,100,1.28
126,Constitucion,CL,2021-06-01 06:48:07,-35.3333,-72.4167,57.87,86,100,2.68
127,Kadubivtsi,UA,2021-06-01 06:52:05,48.5834,25.7687,54.36,87,99,4.07
128,Puerto Ayora,EC,2021-06-01 06:52:06,-0.7393,-90.3518,73.54,92,42,5.99
129,Mahebourg,MU,2021-06-01 06:52:06,-20.4081,57.7,80.26,73,40,9.22
130,Srednekolymsk,RU,2021-06-01 06:52:06,67.45,153.6833,66.42,25,9,14.45
131,Usinsk,RU,2021-06-01 06:52:07,65.9939,57.5281,40.41,49,100,24.85
132,Sao Filipe,CV,2021-06-01 06:52:07,14.8961,-24.4956,71.96,77,100,8.08
